DATA_INIZIO,VALORE
25/03/2021,55
25/03/2021,29
25/03/2021,41
25/03/2021,33
25/03/2021,57
25/03/2021,77
25/03/2021,46
25/03/2021,30
25/03/2021,26
25/03/2021,19
25/03/2021,26
25/03/2021,69
25/03/2021,85
25/03/2021,21
25/03/2021,65
25/03/2021,62
25/03/2021,40
25/03/2021,78
25/03/2021,55
25/03/2021,61
25/03/2021,89
25/03/2021,67
25/03/2021,25
25/03/2021,89
25/03/2021,53
28/03/2021,14
28/03/2021,48
28/03/2021,87
28/03/2021,21
28/03/2021,11
28/03/2021,75
31/03/2021,88
31/03/2021,75
31/03/2021,36
31/03/2021,60
31/03/2021,93
31/03/2021,60
31/03/2021,34
01/04/2021,55
01/04/2021,71
01/04/2021,7
01/04/2021,57
01/04/2021,4
01/04/2021,44
01/04/2021,57
01/04/2021,55
01/04/2021,82
31/03/2021,98
11/04/2021,52
11/04/2021,13
